radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
155.276094,0.023,19.518725,0.426,NA,NA,0,NA,NA,0,NA,NA,0,17.989,0.185,1,17.07,0.167,1,NA,NA,0,NA,NA,0,NA,NA,0
155.276418,0.387,19.552567,0.404,15.734,0.059,5,16.453,0.13,5,NA,NA,0,16.047,0.082,5,15.538,0.056,5,15.389,0.1,5,NA,NA,0,NA,NA,0
155.276912,0.566,20.04575,0.039,NA,NA,0,NA,NA,0,NA,NA,0,18.202,0.166,1,17.664,0.252,1,NA,NA,0,NA,NA,0,NA,NA,0
155.277101,0.21,19.591118,0.167,13.119,0.028,6,13.684,0.172,6,NA,NA,0,13.482,0.442,6,12.727,0.509,6,12.75,0.313,6,12.883,0.131,3,NA,NA,0
155.279408,1.006,19.56262,0.917,16.659,0.097,1,18.078,0.219,1,NA,NA,0,17.367,0.132,4,16.422,0.107,4,15.98,0.108,2,NA,NA,0,NA,NA,0
155.279729,0.768,20.148923,0.604,NA,NA,0,NA,NA,0,NA,NA,0,17.696,0.197,4,16.116,0.135,4,15.516,0.071,4,NA,NA,0,NA,NA,0
155.280286,0.433,20.01004,0.364,14.796,0.045,6,16.204,0.276,6,NA,NA,0,15.565,0.037,5,14.188,0.031,5,13.431,0.043,5,12.995,0.247,3,NA,NA,0
155.281389,0.867,19.942094,0.668,16.399,0.08,4,17.053,0.178,4,NA,NA,0,16.779,0.166,4,15.96,0.056,4,15.823,0.132,4,NA,NA,0,NA,NA,0
155.283976,0.445,19.685588,0.354,14.897,0.043,6,15.702,0.22,6,NA,NA,0,15.271,0.057,5,14.632,0.032,5,14.475,0.034,5,NA,NA,0,NA,NA,0
155.285438,0.463,19.892191,0.356,16.581,0.041,2,17.305,0.024,2,NA,NA,0,16.832,0.092,3,16.454,0.124,4,16.229,0.066,2,NA,NA,0,NA,NA,0
155.288286,0.268,19.961725,0.346,14.132,0.037,6,15.109,0.23,6,NA,NA,0,14.651,0.042,5,13.75,0.029,5,13.454,0.04,5,13.479,0.139,3,NA,NA,0
155.288601,0.648,20.177194,0.379,15.149,0.02,6,15.74,0.146,6,NA,NA,0,15.444,0.079,5,14.995,0.02,5,14.868,0.075,5,NA,NA,0,NA,NA,0
155.291591,0.408,19.862851,0.43,14.552,0.028,6,15.163,0.128,6,NA,NA,0,14.923,0.39,6,14.362,0.05,5,14.143,0.268,6,NA,NA,0,NA,NA,0
155.291883,0.117,20.10976,0.192,12.421,0.016,5,13.164,0.031,5,NA,NA,0,12.762,0.07,5,12.211,0.032,5,12.05,0.025,5,12.094,0.124,3,NA,NA,0
155.292946,0.841,20.155748,0.475,15.907,0.066,6,16.968,0.201,6,NA,NA,0,16.459,0.105,5,15.492,0.072,5,15.131,0.073,5,NA,NA,0,NA,NA,0
155.293823,0.562,19.658158,0.507,NA,NA,0,NA,NA,0,NA,NA,0,17.321,0.096,3,16.884,0.121,3,NA,NA,0,NA,NA,0,NA,NA,0
155.294293,0.53,20.18336,0.242,15.28,0.026,6,16.146,0.183,6,NA,NA,0,15.694,0.067,5,15.049,0.034,5,14.746,0.046,5,NA,NA,0,NA,NA,0
155.295299,0.487,19.707828,0.397,15.319,0.02,6,15.821,0.167,6,NA,NA,0,15.544,0.041,5,15.146,0.046,5,14.994,0.09,5,NA,NA,0,NA,NA,0
155.295742,0.681,19.66793,0.543,16.504,0.085,1,17.622,0.139,1,NA,NA,0,17.022,0.027,4,15.938,0.067,4,15.701,0.073,4,NA,NA,0,NA,NA,0
155.296123,0.781,19.598359,0.996,15.819,0.036,5,16.755,0.219,5,NA,NA,0,16.257,0.033,3,15.53,0.019,3,15.301,0.12,3,NA,NA,0,NA,NA,0
155.296513,0.397,19.895702,0.357,16.077,0.084,3,17.114,0.229,3,NA,NA,0,16.558,0.043,4,15.679,0.021,4,15.446,0.124,4,NA,NA,0,NA,NA,0
155.30171,0.355,19.739977,0.361,15.493,0.001,2,16.624,0.038,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
155.301792,0.574,19.938051,0.252,15.194,0.033,5,16.139,0.256,5,NA,NA,0,15.692,0.042,5,14.863,0.033,5,14.613,0.062,5,NA,NA,0,NA,NA,0
155.302935,1.218,19.737785,1.347,15.087,0.094,5,16.077,0.322,4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
155.303299,0.436,19.883644,0.353,15.045,0.034,6,15.656,0.147,6,NA,NA,0,15.338,0.048,5,14.85,0.028,5,14.654,0.055,5,NA,NA,0,NA,NA,0
155.307626,0.526,19.600425,0.415,NA,NA,0,NA,NA,0,NA,NA,0,17.849,0.084,3,16.259,0.065,3,15.21,0.043,3,NA,NA,0,NA,NA,0
155.312687,0.339,19.671919,0.592,NA,NA,0,NA,NA,0,NA,NA,0,17.777,0.111,1,17.004,0.135,1,NA,NA,0,NA,NA,0,NA,NA,0
155.315843,0.615,19.912544,0.518,15.616,0.043,4,16.724,0.11,4,NA,NA,0,16.122,0.054,5,15.21,0.022,5,14.874,0.032,5,NA,NA,0,NA,NA,0
155.316525,0.485,20.045401,0.449,17.307,0.177,1,17.686,0.156,1,NA,NA,0,17.178,0.089,3,16.689,0.085,3,NA,NA,0,NA,NA,0,NA,NA,0
155.318357,0.307,19.972369,0.345,NA,NA,0,NA,NA,0,NA,NA,0,18.427,0.19,1,17.135,0.014,2,16.228,0.199,1,NA,NA,0,NA,NA,0
155.319765,0.685,19.74527,0.576,17.115,0.147,1,17.957,0.192,1,NA,NA,0,17.321,0.136,4,16.671,0.131,4,16.3,0.04,2,NA,NA,0,NA,NA,0
155.322116,0.418,19.652041,0.478,15.079,0.032,6,15.82,0.179,6,NA,NA,0,15.457,0.081,5,14.791,0.038,5,14.426,0.037,5,NA,NA,0,NA,NA,0
155.322513,0.729,19.612512,0.344,16.439,0.095,1,17.46,0.164,1,NA,NA,0,17.006,0.03,4,15.729,0.038,4,15.127,0.068,4,NA,NA,0,NA,NA,0
155.324198,0.529,20.041389,0.604,15.419,0.088,6,16.238,0.251,6,NA,NA,0,15.867,0.038,5,15.089,0.03,5,14.852,0.112,5,NA,NA,0,NA,NA,0
155.325596,0.12,20.149036,0.155,12.347,0.03,6,13.147,0.205,6,NA,NA,0,12.814,0.443,6,11.858,0.463,6,11.727,0.321,6,11.848,0.186,3,NA,NA,0
155.332521,0.3,19.598129,0.275,14.704,0.033,6,15.285,0.204,6,NA,NA,0,14.98,0.054,5,14.528,0.043,5,14.382,0.03,5,NA,NA,0,NA,NA,0
155.335003,0.463,19.842474,0.431,NA,NA,0,NA,NA,0,NA,NA,0,17.719,0.039,2,16.89,0.155,2,NA,NA,0,NA,NA,0,NA,NA,0
155.337587,0.197,20.061234,0.362,NA,NA,0,NA,NA,0,NA,NA,0,17.848,0.115,1,17.144,0.165,1,NA,NA,0,NA,NA,0,NA,NA,0
155.337831,0.787,19.887087,0.299,17.034,0.111,2,17.792,0.086,2,NA,NA,0,17.459,0.109,3,16.741,0.084,4,16.355,0.21,1,NA,NA,0,NA,NA,0
