_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
341.527032100	+44.496261700	673-118193	341.5270321	+44.4962617	44	14.809	0	0	7.6	-6.4	13.312	12.813	15.910	14.992	14.667	14.409	0	0	0	0	0	0	0	1	0
341.534480900	+44.413705000	673-118199	341.5344809	+44.4137050	192	16.476	0	0	-8.0	-1.8	14.856	14.234	17.585	16.919			0	0	0	0	0	0	0	1	0
341.534754500	+44.495447000	673-118201	341.5347545	+44.4954470	110	15.741	0	0	-50.9	-17.0	14.240	13.855	16.540	15.909	15.580	15.412	0	0	0	0	0	0	0	1	0
341.534929500	+44.504582800	673-118202	341.5349295	+44.5045828	201	15.451	5	0			13.301	12.505	16.764	15.720	15.220	14.764	0	0	0	0	0	0	0	0	0
341.536113600	+44.455563400	673-118203	341.5361136	+44.4555634	77	15.984	0	0	-13.5	-1.1	13.984	13.373	17.024	16.209	15.683	15.325	0	0	0	0	0	0	0	1	0
341.538224800	+44.444733900	673-118204	341.5382248	+44.4447339	203	14.936	5	0			14.283	14.115	15.194	14.906	14.888	14.852	0	0	0	0	0	0	0	0	0
341.542592700	+44.546053900	673-118205	341.5425927	+44.5460539	13	7.145	6	5	142.9	31.8	5.098	4.977	6.255	5.877			7	0	0	2	2	0	0	0	0
341.543188300	+44.471451200	673-118206	341.5431883	+44.4714512	410	16.539	5	0			15.470	14.801	17.407	16.316	16.082	15.599	0	0	0	0	0	0	0	0	0
341.545105900	+44.468940900	673-118208	341.5451059	+44.4689409	135	16.237	0	0	9.8	2.7	14.767	14.366	17.407	16.316	16.082	15.599	0	0	0	0	0	0	0	1	0
341.547194200	+44.439082500	673-118210	341.5471942	+44.4390825	44	14.822	0	0	18.1	9.7	13.094	12.594	15.755	14.886	14.465	14.157	0	0	0	0	0	0	0	1	0
341.552184800	+44.474025900	673-118211	341.5521848	+44.4740259	25	13.712	0	0	1.4	0.1	11.833	11.171	15.109	13.961	13.574	13.187	0	0	0	0	1	0	0	1	0
341.559068600	+44.436882800	673-118217	341.5590686	+44.4368828	40	13.543	0	0	2.9	-9.9	11.545	10.774	15.515	14.103	13.450	13.071	0	0	0	0	1	0	0	1	0
341.559923000	+44.413023900	673-118218	341.5599230	+44.4130239	67	15.689	0	0	-7.6	-5.3	13.808	13.198	17.369	16.069	15.547	15.250	0	0	0	0	0	0	0	1	0
341.563999500	+44.455070000	673-118219	341.5639995	+44.4550700	29	14.363	0	0	7.2	-0.4	12.902	12.457	15.131	14.384	14.200	13.851	0	0	0	0	1	0	0	1	0
341.570922400	+44.504560900	673-118221	341.5709224	+44.5045609	86	15.953	0	34	0.1	-5.7	14.059	13.437	17.072	16.072	15.626	15.499	0	0	0	0	0	0	0	2	0
341.573152100	+44.473698900	673-118224	341.5731521	+44.4736989	88	15.620	0	0	-11.9	0.8	14.297	13.816	16.679	15.789			0	0	0	0	0	0	0	7	0
341.575153600	+44.469907800	673-118225	341.5751536	+44.4699078	20	12.727	0	0	-0.1	-9.6	11.069	10.542	13.941	12.903	12.577	12.223	0	0	0	0	1	0	0	1	0
341.578823300	+44.430197300	673-118227	341.5788233	+44.4301973	92	16.031	0	0	-30.6	-24.7	14.341	13.736	16.591	15.805	15.568		0	0	0	0	0	0	0	1	0
341.588598900	+44.541624500	673-118230	341.5885989	+44.5416245	78	14.542	0	0	18.5	-7.1	13.030	12.617	15.617	14.714	14.352	14.163	0	0	0	0	1	0	0	1	0
341.611317400	+44.563856700	673-118235	341.6113174	+44.5638567	50	14.489	0	0	8.1	-15.8	12.739	12.155	15.882	14.829	14.356	13.997	0	0	0	0	0	0	0	1	0
341.611797100	+44.524688700	673-118236	341.6117971	+44.5246887	20	13.276	0	0	4.9	-4.2	12.039	11.693	14.023	13.355	13.167	12.940	0	0	0	0	1	0	0	1	0
341.615107700	+44.496325300	673-118237	341.6151077	+44.4963253	19	13.179	0	0	43.0	13.2	12.044	11.695	13.753	13.176	13.040	12.844	0	0	0	0	7	0	0	7	0
341.616120300	+44.546297800	673-118238	341.6161203	+44.5462978	26	13.597	0	0	18.8	2.9	11.857	11.304	14.876	13.771	13.443	13.076	0	0	0	0	0	0	0	1	0
341.620069200	+44.457744500	673-118240	341.6200692	+44.4577445	33	14.686	0	0	-3.2	-0.4	13.247	12.890	15.551	14.769	14.521	14.165	0	0	0	0	0	0	0	1	0
341.621707100	+44.437572800	673-118242	341.6217071	+44.4375728	55	15.380	0	0	-9.1	-3.4	13.941	13.670	16.063	15.411	15.196	15.023	0	0	0	0	0	0	0	1	0
341.632193000	+44.425763700	673-118247	341.6321930	+44.4257637	58	14.924	0	0	1.7	-7.7	13.598	13.164	15.800	15.081	14.777	14.489	0	0	0	0	0	0	0	1	0
341.634457400	+44.463653100	673-118249	341.6344574	+44.4636531	50	14.668	0	0	32.6	0.3	12.966	12.478	15.779	14.771	14.459	14.140	0	0	0	0	0	0	0	1	0
341.635229800	+44.549069200	673-118250	341.6352298	+44.5490692	57	15.182	0	0	-7.3	6.9	13.083	12.259	16.920	15.585	15.150	14.574	0	0	0	0	0	0	0	1	0
341.640513000	+44.407643400	673-118254	341.6405130	+44.4076434	23	13.805	0	0	-4.9	-2.3	12.245	11.734	14.840	13.915	13.619	13.318	0	0	0	0	1	0	0	1	0
341.641260600	+44.434673100	673-118255	341.6412606	+44.4346731	51	15.102	0	0	9.4	0.2	13.103	12.398	16.692	15.334	14.935	14.611	0	0	0	0	0	0	0	1	0
341.644361800	+44.520523400	673-118257	341.6443618	+44.5205234	47	14.791	0	0	10.1	-5.1	13.416	12.923	15.927	15.023			0	0	0	0	0	0	0	1	0
341.647355000	+44.558343700	673-118260	341.6473550	+44.5583437	34	13.347	0	0	-4.3	-2.3	11.204	10.463	15.015	13.624	13.202	12.721	0	0	0	0	1	0	0	1	0
341.648124200	+44.401107000	673-118261	341.6481242	+44.4011070	89	15.847	0	0	8.0	-6.2	14.152	13.627	16.731	15.901	15.576	15.192	0	0	0	0	0	0	0	1	0
341.652243300	+44.518966200	673-118264	341.6522433	+44.5189662	44	15.119	0	0	-3.6	-4.3	13.276	12.579	16.464	15.370	15.038	14.621	0	0	0	0	0	0	0	1	0
341.660344200	+44.512087000	673-118266	341.6603442	+44.5120870	53	15.337	0	0	1.4	2.8	14.023	13.518	16.584	15.778	15.403	15.007	0	0	0	0	0	0	0	1	0
341.662405000	+44.410777800	673-118267	341.6624050	+44.4107778	75	15.846	0	0	-0.1	-2.8	14.239	13.778	17.208	16.009		15.592	0	0	0	0	0	0	0	1	0
